ID,Name,ror
grid.457793.b,Division of Computing and Communication Foundations (NSF CCF),https://ror.org/01mng8331
grid.457842.8,Division of Earth Sciences (NSF EAR),https://ror.org/05v01mk25
grid.457818.7,"Division of Electrical, Communications & Cyber Systems (NSF ECCS)",https://ror.org/01krpsy48
grid.467634.4,"Division of Elementary, Secondary, and Informal Education (ESIE)",https://ror.org/054ydxh33
grid.457821.d,Division of Engineering Education & Centers (NSF EEC),https://ror.org/050rnw378
grid.457772.4,Division of Environmental Biology (NSF DEB),https://ror.org/03g87he71
grid.457801.f,Division of Graduate Education (NSF DGE),https://ror.org/00whkrf32
grid.457762.5,Division of Grants & Agreements (NSF DGA),https://ror.org/014eweh95
grid.457805.b,Division of Human Resource Development (NSF HRD),https://ror.org/03mamvh39
grid.467631.1,Division of Human Resource Management (NSF HRM),https://ror.org/04vw0kz07
grid.457832.f,Division of Industrial Innovation & Partnerships (NSF IIP),https://ror.org/03xyg3m20
grid.457797.f,Division of Information and Intelligent Systems (NSF IIS),https://ror.org/053a2cp42
grid.457911.f,Division of Information Systems (NSF DIS),https://ror.org/01vnjbg30
grid.467630.0,Division of Institution and Award Support (DIAS),https://ror.org/025dabr11
grid.457779.f,Division of Integrative Organismal Systems (NSF IOS),https://ror.org/01rvays47
grid.457891.6,Division of Materials Research (NSF DMR),https://ror.org/01pc7k308
grid.457892.5,Division of Mathematical Sciences (NSF DMS),https://ror.org/051fftw81
grid.457783.a,Division of Molecular & Cellular Biosciences (NSF MCB),https://ror.org/002jdaq33
grid.457845.f,Division of Ocean Sciences (NSF OCE),https://ror.org/05wqqhv83
grid.457893.4,Division of Physics (NSF PHY),https://ror.org/04ap5x931
grid.454854.c,Division of Program Coordination Planning and Strategic Initiatives (DPCPSI),https://ror.org/02e3wq066
grid.457802.c,Division of Research on Learning in Formal and Informal Settings (NSF DRL),https://ror.org/05s7cqk18
grid.457922.f,Division of Social and Economic Sciences (NSF SES),https://ror.org/02dz2hb46
grid.457803.d,Division of Undergraduate Education (NSF DUE),https://ror.org/02kd4km72
grid.482913.5,Economic Research Service (ERS),https://ror.org/05ycxzd89
grid.457773.5,Emerging Frontiers Office (NSF EF),https://ror.org/01tnvpc68
grid.417553.1,Engineer Research and Development Center (ERDC),https://ror.org/027mhn368
grid.418698.a,Environmental Protection Agency (EPA),https://ror.org/03tns0030
grid.420089.7,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),https://ror.org/04byxyr05
grid.421881.6,Federal Emergency Management Agency (FEMA),https://ror.org/01g9x3v85
grid.483785.5,Federal Highway Administration (FHWA),https://ror.org/0473rr271
grid.417851.e,Fermilab (Fermilab),https://ror.org/020hgte69
grid.453035.4,Fogarty International Center (FIC),https://ror.org/02xey9a22
grid.419077.c,Glenn Research Center (Glenn Research Center),https://ror.org/059fqnc42
grid.133275.1,Goddard Space Flight Center (GSFC),https://ror.org/0171mag52
grid.454842.b,Health Resources and Services Administration (HRSA),https://ror.org/0121dpf30
grid.483884.b,Hydrogen and Fuel Cells Technologies Office (HFTO),https://ror.org/05csy5p27
grid.414598.5,Indian Health Service (IHS),https://ror.org/01fykh430
grid.421530.1,Institute of Education Sciences (IES),https://ror.org/04et59085
grid.431754.0,Institute of Museum and Library Services (IMLS),https://ror.org/030prv062
grid.211367.0,Jet Propulsion Lab (JPL),https://ror.org/027k65916
grid.419085.1,Johnson Space Center (JSC),https://ror.org/04xx4z452
grid.419743.c,Kennedy Space Center (KSC),https://ror.org/03kjpzv42
grid.419086.2,Langley Research Center (LaRC),https://ror.org/0399mhs52
grid.184769.5,Lawrence Berkeley National Laboratory (LBL),https://ror.org/02jbv0t02
grid.250008.f,Lawrence Livermore National Laboratory (LLL),https://ror.org/041nk4h53
grid.148313.c,Los Alamos National Laboratory (LANL),https://ror.org/01e41cf67
grid.419091.4,Marshall Space Flight Center (MSFC),https://ror.org/02epydz83
grid.463240.7,Missile Defense Agency (MDA),https://ror.org/024z17f57
grid.238252.c,National Aeronautics and Space Administration (NASA),https://ror.org/027ka1x80
grid.48336.3a,National Cancer Institute (NCI),https://ror.org/040gcmg81
grid.429651.d,National Center for Advancing Translational Sciences (NCATS),https://ror.org/04pw6fb54
grid.57828.30,National Center for Atmospheric Research (NCAR),https://ror.org/05cvfcr44
grid.416781.d,National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP),https://ror.org/021rths28
grid.280655.c,National Center for Complementary and Integrative Health (NCCIH),https://ror.org/00190t495
grid.467923.d,National Center for Emerging and Zoonotic Infectious Diseases (NCEZID),https://ror.org/02ggwpx62
grid.416778.b,National Center for Environmental Health (NCEH),https://ror.org/00jc2kw33
grid.416789.5,National Center for Health Statistics (NCHS),https://ror.org/03p15s250
grid.419980.d,National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention (NCHSTP),https://ror.org/01wjn2x92
grid.419260.8,National Center for Immunization and Respiratory Diseases (NIP),https://ror.org/05je2tx78
grid.453275.2,National Center for Injury Prevention and Control (NCIPC),https://ror.org/0015x1k58
grid.457921.c,National Center for Science and Engineering Statistics (NSF NCSE),https://ror.org/0445wmv88
grid.453445.7,National Center on Birth Defects and Developmental Disabilities (NCBDD),https://ror.org/021asz590
grid.423033.5,National Centers for Coastal Ocean Science (NCCOS),https://ror.org/05ba43f71
grid.422239.c,National Endowment for the Humanities (NEH),https://ror.org/02vdm1p28
grid.451363.6,National Energy Technology Laboratory (NETL),https://ror.org/01x26mz03
grid.280030.9,National Eye Institute (NEI),https://ror.org/03wkg3b53
grid.462540.1,National Geospatial-Intelligence Agency (NIMA),https://ror.org/02k4pxv54
grid.279885.9,National Heart Lung and Blood Institute (NHLBI),https://ror.org/012pb6c26
grid.467654.2,National Highway Traffic Safety Administration (NHTSA),https://ror.org/04gcfqs37
grid.280128.1,National Human Genome Research Institute (NHGRI),https://ror.org/00baak391
grid.451056.3,National Institute for Health Research (NIHR),https://ror.org/0187kwz08
grid.457946.d,National Institute for Mathematical and Biological Synthesis (NIMBioS),https://ror.org/04vj69e88
grid.416809.2,National Institute for Occupational Safety and Health (NIOSH),https://ror.org/0502a2655
grid.419681.3,National Institute of Allergy and Infectious Diseases (NIAID),https://ror.org/043z4tv69
grid.420086.8,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),https://ror.org/006zn3t30
grid.280347.a,National Institute of Biomedical Imaging and Bioengineering (NIBIB),https://ror.org/00372qc85
grid.419633.a,National Institute of Dental and Craniofacial Research (NIDCR),https://ror.org/004a2wv92
grid.419635.c,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),https://ror.org/00adh9b73
grid.280664.e,National Institute of Environmental Health Sciences (NIEHS),https://ror.org/00j4k1h63
grid.482914.2,National Institute of Food and Agriculture (NIFA),https://ror.org/05qx3fv49
grid.280785.0,National Institute of General Medical Sciences (NIGMS),https://ror.org/04q48ey07
grid.484220.8,National Institute of Justice (NIJ),https://ror.org/00v8p7w89
grid.416868.5,National Institute of Mental Health (NIMH),https://ror.org/04xeg9z08
grid.416870.c,National Institute of Neurological Disorders and Stroke (NINDS),https://ror.org/01s5ya894
grid.280738.6,National Institute of Nursing Research (NINR),https://ror.org/01y3zfr79
grid.94225.38,National Institute of Standards and Technology (NIST),https://ror.org/05xpvk416
grid.419475.a,National Institute on Aging (NIA),https://ror.org/049v75w11
grid.420085.b,National Institute on Alcohol Abuse and Alcoholism (NIAAA),https://ror.org/02jzrsm59
grid.214431.1,National Institute on Deafness and Other Communication Disorders (NIDCD),https://ror.org/04mhx6838
grid.473857.a,"National Institute on Disability, Independent Living, and Rehabilitation Research (NIDILRR)",https://ror.org/05r5c7c30
grid.420090.f,National Institute on Drug Abuse (NIDA),https://ror.org/00fq5cm18
grid.281076.a,National Institute on Minority Health and Health Disparities (NIMHD),https://ror.org/0493hgw16
grid.94365.3d,National Institutes of Health (NIH),https://ror.org/01cwqze88
grid.410305.3,National Institutes of Health Clinical Center (CLC),https://ror.org/04vfsmv21
grid.453023.3,National Nuclear Security Administration (NNSA),https://ror.org/03sk1we31
grid.3532.7,National Oceanic and Atmospheric Administration (NOAA),https://ror.org/02z5nhe81
grid.454846.f,National Park Service (NPS),https://ror.org/044zqqy65
grid.454847.e,National Pork Board,https://ror.org/00safct20
grid.419357.d,National Renewable Energy Laboratory (NREL),https://ror.org/036266993
grid.457896.1,National Science Board (NSF NSB),https://ror.org/00apvva27
grid.431093.c,National Science Foundation (NSF),https://ror.org/021nxhr62
grid.482831.4,National Security Agency (NSA),https://ror.org/0047bvr32
grid.454848.1,National Space Biomedical Research Institute (NSBRI),https://ror.org/04731xt44
grid.420427.7,Naval Air Systems Command (NAVAIR),https://ror.org/054ajk512
grid.419445.9,Naval Information Warfare Center Pacific (SPAWAR),https://ror.org/01gs1cg95
grid.415913.b,Naval Medical Research Center (NMRC),https://ror.org/05f421b09
grid.462643.1,Naval Sea Systems Command (NAVSEA),https://ror.org/03dm1p143
grid.473834.f,NIHR Academy (TCC),https://ror.org/02nv4he32
grid.473755.7,NIHR Central Commissioning Facility (CCF),https://ror.org/03c1etk80
grid.473757.5,NIHR Evaluation Trials and Studies Coordinating Centre (NETS),https://ror.org/03d7d0579
grid.135519.a,Oak Ridge National Laboratory (ORNL),https://ror.org/01qz5mb56
grid.467641.6,"Office for State, Tribal, Local and Territorial Support (OSTLTS)",https://ror.org/03fe2kq34
grid.457789.0,Office of Advanced Cyberinfrastructure (NSF OAC),https://ror.org/04nh1dc89
grid.453070.5,Office of Advanced Scientific Computing Research (ASCR),https://ror.org/0012c7r22
grid.452988.a,Office of Basic Energy Sciences (BES),https://ror.org/05mg91w61
grid.452963.f,Office of Biological and Environmental Research (BER),https://ror.org/0114b2m14
grid.457758.c,"Office of Budget, Finance and Award Management (NSF BFA)",https://ror.org/01rcfpa16
grid.453518.e,Office of Dietary Supplements (ODS),https://ror.org/01wtjyf13
grid.453355.1,Office of Electricity Delivery and Energy Reliability (OE),https://ror.org/02y6dp041
grid.457829.5,Office of Emerging Frontiers and Multidisciplinary Activities (NSF EFMA),https://ror.org/0388pet74
grid.453003.1,Office of Energy Efficiency and Renewable Energy (EERE),https://ror.org/02xznz413
grid.457407.5,Office of Environmental Management (EM),https://ror.org/00km40770
grid.436341.7,Office of Extramural Research (OER),https://ror.org/05aq6yn88
grid.453259.c,Office of Fossil Energy (FE),https://ror.org/03ery9d53
grid.453030.1,Office of Fusion Energy Sciences (FES),https://ror.org/02n3j8t12
grid.457907.8,Office of Information and Resource Management (NSF OIRM),https://ror.org/01gmp5538
grid.473792.c,Office of Inspector General (OIG),https://ror.org/02ch5q898
grid.457900.f,Office of Integrative Activities (NSF OIA),https://ror.org/04k9mqs78
grid.457904.b,Office of International Science and Engineering (NSF OISE),https://ror.org/01k638r21
grid.433602.0,Office of Juvenile Justice and Delinquency Prevention (OJJDP),https://ror.org/05335sh79
grid.467629.8,Office of Legislative & Public Affairs (OLPA),https://ror.org/04h67aa53
grid.467644.3,Office of Multidisciplinary Activities (OMA),https://ror.org/01sharn77
grid.482851.2,Office of Naval Research (ONR),https://ror.org/00rk2pe57
grid.453031.0,Office of Nuclear Energy (NE),https://ror.org/05tj7dm33
grid.453025.5,Office of Nuclear Physics (NP),https://ror.org/02atag894
grid.457846.c,Office of Polar Programs (NSF PLR),https://ror.org/05nwjp114
grid.467635.5,Office of Public Health Preparedness and Response (OPHPR),https://ror.org/00sdb8f83
grid.453216.7,Office of Science (DOE SC),https://ror.org/00mmn6b08
grid.483892.c,Office of Special Education and Rehabilitative Services (OSERS),https://ror.org/031s4pb13
grid.457898.f,Office of the Director (NSF OD),https://ror.org/04nseet23
grid.453125.4,Office of the Director (OD),https://ror.org/00fj8a872
grid.488591.9,Office of the Director of National Intelligence (ODNI),https://ror.org/01v3fsc55
grid.473761.0,Office of the Secretary of Defense (OSD),https://ror.org/00q4sx826
grid.467626.7,"Polar Environment, Safety and Health Section (PESH)",https://ror.org/04ya3kq71
grid.458401.c,President's Emergency Plan for AIDS Relief (PEPFAR),https://ror.org/025g6sc95
grid.458379.4,Quality Enhancement Research Initiative (QUERI),https://ror.org/03cdz5d08
grid.453134.4,Rehabilitation Research and Development Service (JRRD),https://ror.org/008qp6e21
grid.467664.1,Savannah River Operations Office (DOE-SR),https://ror.org/05hhm9a98
grid.457927.a,SBE Office of Multidisciplinary Activities (NSF SMA),https://ror.org/02a65dj82
grid.457924.9,Science of Learning Centers Program Coordinating Committee (NSF SLC-CC),https://ror.org/034m1ez10
grid.453092.9,Small Business Administration (SBA),https://ror.org/015t55b95
grid.413730.2,Substance Abuse and Mental Health Services Administration (SAMHSA),https://ror.org/03t3qg659
grid.453220.2,Telemedicine & Advanced Technology Research Center (TATRC),https://ror.org/014pvr265
grid.513044.7,Traumatic Brain Injury Center of Excellence (TBICoE),
grid.265436.0,Uniformed Services University of the Health Sciences (USUHS),https://ror.org/04r3kq386
grid.420285.9,United States Agency for International Development (USAID),https://ror.org/01n6e6j62
grid.453002.0,United States Air Force (USAF),https://ror.org/006gmme17
grid.265457.7,United States Air Force Academy (USAFA),https://ror.org/0055d0g64
grid.507554.6,United States Air Force Office of Scientific Research (AFOSR),https://ror.org/011e9bt93
grid.417730.6,United States Air Force Research Laboratory (AFRL),https://ror.org/02e2egq70
grid.420176.6,United States Army (USA),https://ror.org/00afsp483
grid.431335.3,United States Army Corps of Engineers (CoE),https://ror.org/05w4e8v21
grid.481489.8,United States Army Medical Command (MEDCOM),https://ror.org/04vrzee53
grid.420210.5,United States Army Medical Research and Development Command (USAMRMC),https://ror.org/03cd02q50
grid.416900.a,United States Army Medical Research Institute of Infectious Diseases (USAMRIID),https://ror.org/01pveve47
grid.420282.e,United States Army Research Laboratory (ARL),https://ror.org/011hc8f90
grid.507553.1,United States Army Research Office (US ARO),https://ror.org/05epdh915
grid.418402.b,"United States Army Research, Development and Engineering Command (RDECOM)",https://ror.org/02rdkx920
grid.417548.b,United States Department of Agriculture (USDA),https://ror.org/01na82s61
grid.239119.1,United States Department of Commerce (USDoC),https://ror.org/04chq2495
grid.420391.d,United States Department of Defense (USDOD ),https://ror.org/0447fe631
grid.419881.d,United States Department of Education (DoED),https://ror.org/021adze67
grid.85084.31,United States Department of Energy (DOE),https://ror.org/01bj3aw27
grid.27235.31,United States Department of Health and Human Services (DHHS),https://ror.org/033jnv181
grid.433574.2,United States Department of Homeland Security (DHS),https://ror.org/00jyr0d86
grid.420410.3,United States Department of Housing and Urban Development (HUD),https://ror.org/014a5gx79
grid.423379.8,United States Department of Justice (DOJ),https://ror.org/02916qm60
grid.495456.f,United States Department of the Air Force (DAF),https://ror.org/01973x930
grid.427904.c,United States Department of the Army (DA),https://ror.org/035w1gb98
grid.239134.e,United States Department of the Interior (DOI),https://ror.org/03v0pmy70
grid.420434.5,United States Department of the Navy (DON),https://ror.org/03ar0mv07
grid.419882.e,United States Department of Transportation (USDOT),https://ror.org/02xfw2e90
grid.418356.d,United States Department of Veterans Affairs (VA ),https://ror.org/05rsv9s98
grid.462979.7,United States Fish and Wildlife Service (FWS),https://ror.org/04k7dar27
grid.417587.8,United States Food and Drug Administration (FDA ),https://ror.org/034xvzb47
grid.2865.9,United States Geological Survey (USGS),https://ror.org/035a68863
grid.497574.c,United States Marine Corps (USMC),https://ror.org/05av6m066
grid.280285.5,United States National Library of Medicine (NLM),https://ror.org/0060t0j89
grid.431418.b,United States Nuclear Regulatory Commission (NRC),https://ror.org/03nhmbj89
grid.417684.8,United States Public Health Service (USPHS),https://ror.org/05xf94514
grid.472551.0,US Forest Service (USFS),https://ror.org/03zmjc935
grid.483017.9,USDA Rural Development (USDA RD),https://ror.org/02qhkmh27
grid.453027.7,Vehicle Technologies Office (Vehicle Technologies Office),https://ror.org/00f93gc02
grid.507680.c,Walter Reed Army Institute of Research (WRAIR),https://ror.org/0145znz58
grid.453840.e,Women's Health Initiative (WHI),https://ror.org/05f7khr13
